loop,y1,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best
45,1767.25,2.399999999177808,2.3599999999871457,2.549999999728881,2.249999976193274,178.2499999993819,331.2499999990034,3527.249999999031,4.449999999752123,171.34999999848912,2.349999999458002,2.449999999527635
46,1767.25,2.3999999992712686,2.35999999998858,2.5499999998319685,2.24999999864118,178.24999999993443,331.2499999992714,3527.249999999726,4.44999999975224,171.34999999995995,2.349999999857648,2.449999999889239
47,1767.25,2.3999999993001957,2.3599999999915733,2.549999999982936,2.249999998659042,178.249999999953,331.24999999931345,3527.249999999899,4.449999999752454,171.3499999999607,2.349999999918224,2.449999999938366
48,1767.25,2.399999999300872,2.359999999999907,2.549999999984604,2.2499999987030384,178.24999999995717,331.249999999579,3527.249999999902,4.449999999754331,171.34999999996458,2.349999999938883,2.449999999979818
49,1767.25,2.3999999997053667,2.359999999999911,2.549999999984621,2.2499999987035078,178.24999999996345,331.2499999999509,3527.249999999902,4.449999999768673,171.34999999996458,2.34999999995462,2.449999999982015
50,1767.25,2.399999999708246,2.359999999999915,2.5499999999848124,2.249999999933663,178.24999999999596,331.24999999996646,3527.2499999999563,4.449999999863399,171.3499999999913,2.349999999965857,2.449999999982197
51,1767.25,2.399999999708545,2.359999999999946,2.549999999991464,2.249999999933676,178.24999999999605,331.24999999997254,3527.249999999992,4.449999999990079,171.34999999999545,2.3499999999918733,2.449999999996713
52,1767.25,2.3999999999532897,2.359999999999988,2.5499999999943808,2.249999999945806,178.2499999999961,331.2499999999757,3527.249999999999,4.449999999993169,171.34999999999604,2.3499999999918924,2.449999999997248
53,1767.25,2.39999999995329,2.3599999999999937,2.5499999999965217,2.249999999997093,178.2499999999962,331.2499999999956,3527.25,4.44999999999356,171.34999999999803,2.349999999992304,2.4499999999985738
54,1767.25,2.3999999999533883,2.3599999999999937,2.549999999999271,2.249999999997243,178.2499999999998,331.249999999998,3527.25,4.449999999993639,171.3499999999991,2.349999999992683,2.449999999998939
55,1767.25,2.399999999954466,2.359999999999997,2.5499999999998124,2.2499999999972915,178.2499999999998,331.24999999999807,3527.25,4.449999999996424,171.3499999999991,2.3499999999936265,2.449999999999384
56,1767.25,2.399999999954467,2.359999999999997,2.5499999999999448,2.249999999997312,178.24999999999983,331.24999999999807,3527.25,4.449999999999984,171.34999999999937,2.349999999998928,2.4499999999997493
57,1767.25,2.399999999997269,2.359999999999997,2.549999999999981,2.249999999999309,178.24999999999983,331.249999999999,3527.25,4.449999999999984,171.3499999999995,2.3499999999989583,2.4499999999998545
